Category,Parameter,Description,Junior PM,Intermediate PM,Senior PM,Staff PM,Principal PM
People & Collaboration,Alignment to Values,"How consistently you embody and promote company values.","Demonstrates awareness of company values and begins incorporating them into daily work.

[PM] Begins to understand the ethical implications of product decisions. Learns to balance stakeholder requests with genuine user needs.","Consistently applies company values in decision-making and peer collaboration. Positively influences the team by modelling respectful and values-based behaviours.

[PM] Navigates tensions between user value and business value with transparency. Considers the impact of product decisions on different user segments, including edge cases.","Actively promotes values through actions and decisions; holds self accountable as a role model. Challenges behaviours that conflict with values, reinforcing standards for the team.

[PM] Champions ethical product practices within their area. Challenges dark patterns or manipulative design choices. Ensures product decisions balance growth metrics with user trust and long-term product integrity.","Embeds values into cross-team initiatives, ensuring alignment between outcomes and organisational principles. Acts as a trusted cultural ambassador.

[PM] Ensures product decisions within their domain consistently reflect company values, even under pressure to prioritize short-term metrics over long-term user trust and product integrity.","Consistently role models company values across functions, setting behavioural standards for senior peers and teams. Ensures that values guide high-stakes decisions, shaping culture and influencing organisational priorities.

[PM] Sets the standard for ethical product practices across the organization. Ensures product strategy balances business growth with user trust, privacy, and long-term sustainability."
Strategic Contribution,Strategic Thinking,"How you connect execution to long-term strategy and vision.","Aware of team goals; learning to connect tasks to outcomes.

[PM] Has an understanding of company goals and strategy. Convincingly articulates how their work contributes to the wider strategy. Seeks to understand product area strategy.","Understands strategy; aligns work and ideas with broader context.

[PM] Proactively links how product development in their area concretely contributes to overall company goals. Contributes pro-actively to the product strategy. Shapes the product area mid-term strategy with manager support.","Shapes team direction; connects daily work with long-term strategy.

[PM] Leverages a deep and internalized understanding of company goals and strategy to inform product decisions. Prepares strategic options and drives the decision-making process. Can create/clarify strategy within ambiguous areas with limited guidance.","Defines and connects tactical execution across teams to organisational long-term strategies.

[PM] Translates company goals into a clear, actionable strategy for their domain. Creates and clarifies strategy within highly ambiguous areas of their domain without guidance. Prepares strategic options that account for domain-level trade-offs and cross-team dependencies. Influences at engine level.","Aligns personal and cross-functional initiatives with organisational strategy; ensures initiatives deliver enterprise value.

[PM] Takes the company goals and strategy and uses these to define key focus areas and elevate the product organization. Prepares strategic options including considerations across the wider product areas, and drives the decision-making process at engine and company level."
Strategic Contribution,Decision-Making,"How you make and own decisions under complexity and trade-offs.","Makes low-risk decisions with support; learning how to weigh trade-offs.

[PM] Begins to understand the trade-offs between scope, timeline, and quality. Relies on manager guidance for prioritization decisions. Starts learning when to escalate vs. decide independently.","Balances speed and judgment; makes solid, context-aware decisions.

[PM] Makes sound prioritization decisions within their product area. Weighs user value against business value when scoping features. Understands build vs. buy trade-offs for their domain. Balances short-term adoption needs with long-term product coherence.","Makes informed, often high-stakes decisions; weighs trade-offs across multiple dimensions.

[PM] Makes confident prioritization decisions across complex, multi-stakeholder contexts. Balances scope vs. timeline vs. quality with clear rationale. Champions data-informed decisions while knowing when to trust product intuition. Owns the decision and its outcomes.","Makes cross-team and cross-functional decisions; considers broader organisational outcomes.

[PM] Makes high-stakes product decisions within their domain with significant business implications. Balances competing priorities across teams in their area. Navigates build vs. buy vs. partner decisions with deep domain context. Considers second-order effects on adjacent domains.","Makes critical decisions with significant technical or business implications; balances speed, risk, and long-term sustainability.

[PM] Makes high-stakes product and portfolio decisions that shape the company direction. Balances growth, risk, and long-term sustainability across the product organization. Drives the decision-making process at engine and company level with conviction and clarity."
Strategic Contribution,Innovation & Best Practices,"How you improve ways of working and drive creative solutions.","Learns and applies existing best practices; contributes incremental improvements. Approaches problems with curiosity.

[PM] Starts applying product frameworks and tools (discovery, prioritization). Approaches product challenges with curiosity and begins experimenting with user research and hypothesis testing.","Improves team tools/processes; adapts and evolves ways of working. Demonstrates creative problem-solving within the team.

[PM] Comfortable with a range of product frameworks (discovery, prioritization, experimentation). Runs experiments and validates assumptions with users before committing to solutions. Focuses on the right problem before jumping to solutions.","Drives continuous improvement; introduces and scales best practices across functions. Tackles complex problems with structured creativity.

[PM] Deeply versed in which tools/frameworks to use with the right level of pragmatism. Proposes product bets based on market insights and validated hypotheses. Champions experimentation culture (hypothesis-driven development, rapid prototyping) within their product area.","Creates frameworks and standards that scale innovation across multiple teams. Applies creative problem-solving to cross-team challenges.

[PM] Coaches PMs in their domain on product frameworks and experimentation methodology. Identifies opportunities for product innovation within their domain. Creates reusable playbooks from patterns across teams. Drives a culture of hypothesis-driven development.","Defines and evolves best practices across functions; drives systemic innovation. Recognised for creative problem-solving that addresses organisation-wide challenges.

[PM] Coaches the product organization on frameworks with the right degree of adaptation and customization. Identifies transformative product opportunities at company level. Advances the PM function's experimentation and innovation maturity. Shapes the culture of product innovation across the organization."
Potential Misalignments,Ownership,"Risk of under- or over-owning outcomes.","May over-rely on direction or task assignments; avoids taking initiative for full outcomes. Can miss follow-through or assume others are tracking progress.

[PM] May own assigned features but not the customer outcomes they are supposed to drive. May confuse completing user stories with delivering value to users.","May defer ownership when under pressure or ambiguity increases. Might escalate too quickly without assessing what can be solved independently.

[PM] May own the roadmap but not the business outcomes. May avoid taking ownership of GTM success or customer adoption, treating these as someone else's responsibility.","Can be overly hands-on, leading to bottlenecks or micromanagement. Struggles to empower others or build sustainable ownership across the team.

[PM] May own too much of the execution detail instead of empowering the cross-functional team. May struggle to delegate product decisions to other PMs while maintaining product coherence.","May overcommit without evaluating leverage; risks becoming a single point of failure.

[PM] May try to own all decisions within their domain rather than building ownership capacity in the PMs they mentor. Risks becoming the bottleneck for cross-team product alignment.","May focus too narrowly on domain outcomes and underinvest in aligning with broader organisational goals. May be reluctant to step outside expertise when broader leadership is needed.

[PM] May own the product vision but lose connection to execution reality. May focus on strategic ownership while neglecting to ensure other PMs have clear ownership of their product areas."
Potential Misalignments,Initiative,"Risk of being reactive rather than proactive.","May wait to be asked or assigned; unsure when or how to speak up. Reluctant to suggest improvements or challenge norms.

[PM] May wait for customer feature requests instead of proactively identifying problems worth solving. May rely on the manager to set the discovery agenda.","Reactive rather than proactive; may see issues but not take the first step to solve. Hesitates to challenge existing processes.

[PM] May react to competitor moves rather than proactively shaping the product direction. May default to building what stakeholders ask for rather than challenging the problem framing.","Focused on delivery over long-term improvement. May deprioritize exploration or innovation in favor of what is urgent or familiar.

[PM] May over-index on shipping features at the expense of strategic discovery. May deprioritize market research and competitive analysis when delivery pressure increases.","May prioritize urgent needs over strategic change; risks incrementalism.

[PM] May focus on optimizing their domain rather than identifying transformative opportunities within it. May avoid proposing bold product bets in favor of safer incremental improvements.","May prioritise refinement of existing systems over initiating strategic cross-functional improvements. May hesitate to challenge organisational norms.

[PM] May refine existing product strategy rather than challenging fundamental assumptions. May avoid disrupting successful product lines even when market signals suggest the need for transformation."
Potential Misalignments,Scope Awareness,"Risk of misjudging boundaries of influence.","May work in isolation, unaware of cross-functional implications. Focused too narrowly on immediate tasks.

[PM] May focus exclusively on their feature area without understanding how it impacts adjacent product areas or the overall user journey.","May miss upstream/downstream dependencies. Assumes alignment without validating with all stakeholders.

[PM] May overlook how product decisions affect Sales enablement, CS workflows, or Marketing positioning. May assume alignment with engineering on scope without explicit validation.","May overextend into areas beyond remit, causing friction. Can misjudge where to influence vs where to support.

[PM] May overextend into engineering decisions without securing buy-in from the tech lead. May try to influence adjacent product areas without proper stakeholder alignment.","May expand influence without securing necessary partnerships; risks diluting focus.

[PM] May go too deep into their domain and miss dependencies with adjacent product areas or platform considerations. May focus on domain excellence while ignoring cross-product integration needs.","May overlook upstream/downstream impact of domain decisions; risks operating in a silo.

[PM] May focus on product strategy without sufficient integration with go-to-market, engineering platform, or customer success strategies. May underestimate the organizational impact of product decisions."
Potential Misalignments,Feedback & Communication,"Risk of communication gaps or poor feedback habits.","May take feedback personally or avoid asking for it. Struggles to express blockers or needs clearly.

[PM] May frame product discussions in feature terms rather than outcome terms. May struggle to communicate the 'why' behind product decisions to the cross-functional team.","May give vague or overly cautious feedback. Can assume clarity instead of confirming shared understanding.

[PM] May present data without a clear product narrative or recommendation. May avoid giving direct feedback to engineering on scope trade-offs or quality concerns.","Can be too direct or infrequent with feedback. Risk of communication gaps when context is not shared across layers.

[PM] May under-communicate strategic product context to the team while over-communicating tactical details. May avoid difficult conversations about roadmap deprioritization with stakeholders.","May broadcast without dialogue; risks gaps in shared context and understanding.

[PM] May communicate product vision without ensuring teams truly understand the strategy and their role in it. May give feedback on product craft but neglect feedback on stakeholder management and leadership skills.","May assume expertise implies alignment, resulting in missed communication gaps. Feedback may be overly technical or lack strategic framing.

[PM] May communicate product strategy at a high level but fail to ensure the message cascades effectively to all product teams. May frame feedback around product outcomes without addressing PM craft and process improvements."
Potential Misalignments,Quality & Detail,"Risk of imbalance between speed and thoroughness.","May prioritize speed over quality. Lacks awareness of impact on others or end users.

[PM] May ship features without validating the problem with users first. May skip user research or data analysis to move faster on delivery.","Sometimes sacrifices clarity or scalability for quick wins. Needs reminders to check for long-term maintainability.

[PM] May over-spec product requirements before testing assumptions with users. May focus on feature completeness at the expense of iteration speed and learning velocity.","May overlook foundational issues while focusing on strategic initiatives. Risks missing detail when delegating or scaling processes.

[PM] May push for ambitious product bets without sufficient user validation. May sacrifice UX quality for shipping speed when under delivery pressure.","Risks shortcuts in scalable processes while scaling impact.

[PM] May prioritize shipping across their domain at the expense of deep product quality in each area. May apply the same level of rigor to all product initiatives rather than calibrating discovery effort to expected impact.","May over-engineer solutions at the expense of timely delivery, or rush to deliver quickly at the expense of long-term quality.

[PM] May over-invest in strategic product planning and frameworks at the expense of shipping. May lose touch with product quality details while focused on organizational-level initiatives."
Potential Misalignments,Mentorship & Influence,"Risk of under-leveraging your ability to grow others.","May depend too much on mentors for direction. Does not recognize their own ability to support peers.

[PM] May not recognize they can help teammates develop product thinking skills. May focus entirely on their own product learning without sharing customer insights or market knowledge.","May miss opportunities to mentor or lift others. Focuses on their own growth more than team growth.

[PM] May focus on building own product expertise without helping junior PMs develop their discovery and stakeholder skills. May hoard customer insights or competitive intelligence rather than sharing broadly.","May assume visibility equals influence. Risks creating dependence instead of building capacity in others.

[PM] May mentor by providing product answers rather than coaching others through the discovery process. May inadvertently create dependency on their product judgment rather than developing it in other PMs.","May mentor select individuals but neglect broader leadership development needs.

[PM] May focus mentoring on product craft skills while neglecting strategic thinking and stakeholder management development in the PMs they coach. May not invest enough in building the next generation of Senior PMs.","May focus mentoring on specialist growth alone, under-leveraging influence to foster strategic leadership across the organization.

[PM] May focus on advancing product excellence while underinvesting in building PM leadership capacity across the organization. May mentor on what to think about product rather than how to think about product."
